"Id","Nombre","CaracteristicaISO","Subcaracteristica","Metrica","ValorObjetivo","MetodoMedicion","Origen","Prioridad","TieneFuente","TieneValorObjetivo","TieneMetodo"
"RNF-01","Tiempo de respuesta en la consulta de parcelas","Eficiencia de desempeño","Comportamiento temporal","Tiempo de respuesta","El listado de parcelas responde en $\leq$ 2,0 s con 500 registros cargados.","Tiempo de respuesta","ISO/IEC 25010:2023 (característica sin evidencia directa de campo); RF-02.","Alta","True","True","True"
"RNF-02","Disponibilidad del sistema","Fiabilidad","Disponibilidad","Porcentaje de tiempo disponible (uptime)","Disponibilidad $\geq$ 99,0~\% mensual en horario 06:00--18:00.","Porcentaje de tiempo disponible (uptime)","ISO/IEC 25010:2023 (característica sin evidencia directa de campo).","Alta","True","True","True"
"RNF-03","Control de acceso por rol","Seguridad","Autenticidad","Porcentaje de intentos de acceso fuera de rol rechazados","El 100~\% de los intentos de acceso a funciones fuera del rol asignado son rechazados.","Porcentaje de intentos de acceso fuera de rol rechazados","R-02, RD-04.","Alta","True","True","True"
"RNF-04","Curva de aprendizaje de usuarios nuevos","Interacción de usuario","Capacidad de aprendizaje","Porcentaje de usuarios de prueba que completan las funciones básicas tras la capacitación","El 100~\% de los usuarios de prueba completan las funciones básicas tras una capacitación de 30 minutos.","Porcentaje de usuarios de prueba que completan las funciones básicas tras la capacitación","ISO/IEC 25010:2023, motivado por el perfil de usuario sin experiencia digital previa declarado en EV-02 [00:24].","Media","True","True","True"
"RNF-05","Compatibilidad con navegadores","Compatibilidad","Coexistencia","Proporción de casos de uso ejecutados sin error funcional, por navegador","18 de 18 ejecuciones exitosas (6 casos de uso $\times$ 3 navegadores), 0 errores funcionales.","Proporción de casos de uso ejecutados sin error funcional, por navegador","RD-03.","Media","True","True","True"
"RNF-06","Modularidad de la arquitectura","Mantenibilidad","Modularidad","Número de módulos modificados al incorporar una funcionalidad de complejidad equivalente a un módulo existente","Una nueva funcionalidad (por ejemplo, un nuevo tipo de reporte) se incorpora modificando como máximo 3 módulos del sistema.","Número de módulos modificados al incorporar una funcionalidad de complejidad equivalente a un módulo existente","RD-05.","Media","True","True","True"
"RNF-07","Cobertura de unidades de medida por cultivo","Adecuación funcional","Completitud funcional","Porcentaje de registros de cosecha con la unidad de medida correcta según el cultivo","100~\%.","Porcentaje de registros de cosecha con la unidad de medida correcta según el cultivo","EV-02 [02:08]; EV-01 [04:47].","Alta","True","True","True"
"RNF-08","Tiempo de generación de reportes de pérdidas","Eficiencia de desempeño","Comportamiento temporal","Tiempo de respuesta","$\leq$ 3,0 s con 500 registros de enfermedad cargados.","Tiempo de respuesta","ISO/IEC 25010:2023 (característica sin evidencia directa de campo).","Alta","True","True","True"
"RNF-09","Tolerancia a interrupciones durante el registro","Fiabilidad","Tolerancia a fallos","Porcentaje de registros recuperados tras una interrupción simulada de conexión","100~\%.","Porcentaje de registros recuperados tras una interrupción simulada de conexión","ISO/IEC 25010:2023, motivado por la pérdida de datos declarada en EV-01 [02:04], [02:17].","Alta","True","True","True"
"RNF-10","Bloqueo por intentos fallidos de acceso","Seguridad","Resistencia","Número de intentos fallidos permitidos antes del bloqueo, y duración del bloqueo","5 intentos; bloqueo mínimo de 15 minutos.","Número de intentos fallidos permitidos antes del bloqueo, y duración del bloqueo","UC-01; RD-04.","Alta","True","True","True"
"RNF-11","Cifrado de credenciales almacenadas","Seguridad","Confidencialidad","Porcentaje de contraseñas almacenadas en formato cifrado","100~\%.","Porcentaje de contraseñas almacenadas en formato cifrado","ISO/IEC 25010:2023; R-04.","Alta","True","True","True"
"RNF-12","Accesibilidad para usuarios sin experiencia digital previa","Interacción de usuario","Inclusividad","Porcentaje de usuarios de prueba sin experiencia previa que completan el registro sin asistencia","$\geq$ 80~\%.","Porcentaje de usuarios de prueba sin experiencia previa que completan el registro sin asistencia","EV-02 [00:24], [02:33], [02:43].","Media","True","True","True"
"RNF-13","Acceso desde dispositivo móvil","Portabilidad","Adaptabilidad","Porcentaje de funciones principales operables desde un navegador móvil","100~\% de las funciones de RF-01, RF-04 y RF-05.","Porcentaje de funciones principales operables desde un navegador móvil","EV-01 [08:42].","Alta","True","True","True"
"RNF-14","Incorporación de nuevos cultivos sin modificar código","Flexibilidad","Adaptabilidad","Tiempo requerido para incorporar un nuevo tipo de cultivo mediante configuración","$\leq$ 30 minutos, sin intervención de un desarrollador.","Tiempo requerido para incorporar un nuevo tipo de cultivo mediante configuración","ISO/IEC 25010:2023; RD-05.","Media","True","True","True"
"RNF-15","Explicabilidad de las alertas y recomendaciones del módulo de IA","Interacción de usuario","Autodescriptividad","Cuatro métricas independientes: M15.1 proporción de alertas y recomendaciones que incluyen explicación causal y nivel de incertidumbre en su presentación; M15.2 tiempo adicional de presentación de la explicación; M15.3 extensión de la explicación; M15.4 comprensión reportada por el usuario.","M15.1 = 100~\% de las alertas y recomendaciones incluyen explicación causal y nivel de incertidumbre; M15.2 $\leq$ 1,0 s adicional respecto a la alerta; M15.3 extensión máxima de 3 líneas de texto; M15.4 comprensión reportada $\geq$ 4 sobre 5 en escala Likert.","Cuatro métricas independientes: M15.1 proporción de alertas y recomendaciones que incluyen explicación causal y nivel de incertidumbre en su presentación; M15.2 tiempo adicional de presentación de la explicación; M15.3 extensión de la explicación; M15.4 comprensión reportada por el usuario.","EV-01 [09:02], [09:10]; Chazette y Schneider (2020)~\cite{chazette2020}; Chazette, Brunotte y Speith (2021, 2022)~\cite{chazette2021,chazette2022}; R-05.","Alta","True","True","True"
