"Par","Ambito","Conflicto","Veredicto","Observacion"
"RF-01 <-> RF-14","Autenticacion y control de acceso","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-01 <-> RNF-03","Autenticacion y control de acceso","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-01 <-> RNF-10","Autenticacion y control de acceso","No","Compatibles","El bloqueo tras 5 intentos fallidos acota RF-01 sin contradecirlo."
"RF-01 <-> RNF-11","Autenticacion y control de acceso","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-14 <-> RNF-03","Autenticacion y control de acceso","No","Compatibles","La desactivacion de cuentas es coherente con el rechazo del 100% de accesos fuera de rol."
"RF-14 <-> RNF-10","Autenticacion y control de acceso","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-14 <-> RNF-11","Autenticacion y control de acceso","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-03 <-> RNF-10","Autenticacion y control de acceso","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-03 <-> RNF-11","Autenticacion y control de acceso","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-10 <-> RNF-11","Autenticacion y control de acceso","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-02 <-> RNF-01","Gestion de parcelas","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-03 <-> RF-04","Registro agricola, cosecha y fitosanitario","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-03 <-> RF-05","Registro agricola, cosecha y fitosanitario","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-03 <-> RF-16","Registro agricola, cosecha y fitosanitario","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-03 <-> RF-17","Registro agricola, cosecha y fitosanitario","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-03 <-> RF-20","Registro agricola, cosecha y fitosanitario","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-03 <-> RF-24","Registro agricola, cosecha y fitosanitario","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-03 <-> RNF-07","Registro agricola, cosecha y fitosanitario","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-03 <-> RNF-09","Registro agricola, cosecha y fitosanitario","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-04 <-> RF-05","Registro agricola, cosecha y fitosanitario","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-04 <-> RF-16","Registro agricola, cosecha y fitosanitario","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-04 <-> RF-17","Registro agricola, cosecha y fitosanitario","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-04 <-> RF-20","Registro agricola, cosecha y fitosanitario","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-04 <-> RF-24","Registro agricola, cosecha y fitosanitario","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-04 <-> RNF-07","Registro agricola, cosecha y fitosanitario","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-04 <-> RNF-09","Registro agricola, cosecha y fitosanitario","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-05 <-> RF-16","Registro agricola, cosecha y fitosanitario","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-05 <-> RF-17","Registro agricola, cosecha y fitosanitario","No","Compatibles","Complementarios: peso declarado frente a comprobante de acopio; la reconciliacion queda cubierta por RF-24."
"RF-05 <-> RF-20","Registro agricola, cosecha y fitosanitario","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-05 <-> RF-24","Registro agricola, cosecha y fitosanitario","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-05 <-> RNF-07","Registro agricola, cosecha y fitosanitario","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-05 <-> RNF-09","Registro agricola, cosecha y fitosanitario","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-16 <-> RF-17","Registro agricola, cosecha y fitosanitario","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
